ZPID,Address,City,State,Price,Monthly Rent,1% Ratio,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
14921911,"42-B Elm St, Hampton, GA 30228","Hampton",GA,135000,1461,1.08,42.42,477,13500,652,182,150,10703198,3,1,1959,"SINGLE_FAMILY"
93886515,"517 14th St, Onawa, IA 51040","Onawa",IA,162500,1491,0.92,27.2,368,16250,785,188,150,832248,3,2,1975,"SINGLE_FAMILY"
453452664,"1610 E Rosebud Ave, Victoria, TX 77901","Victoria",TX,175000,1605,0.92,26.79,391,17500,845,219,150,609646,3,2,1953,"SINGLE_FAMILY"
220481286,"3058 Rocky Ridge Rd, Mountain Home, AR 72653","Mountain Home",AR,185000,1695,0.92,41.17,635,18500,894,17,150,133721,3,3,1994,"MANUFACTURED"
101344699,"3008 W Flournoy St #3, Chicago, IL 60612","Chicago",IL,232999,2134,0.92,25.9,503,23300,1126,105,200,11892842,3,2,2007,"CONDO"
52294990,"305 E Bradford St, Troup, TX 75789","Troup",TX,129995,1410,1.08,44.27,480,13000,628,152,150,26000532,3,1,1922,"SINGLE_FAMILY"
46875615,"1160 W 26th Ct, Riviera Beach, FL 33404","Riviera Beach",FL,395000,3611,0.91,29.87,983,39500,1908,519,200,A11975111,7,4,1955,"SINGLE_FAMILY"
148983592,"2924 Republic St, New Orleans, LA 70119","New Orleans",LA,299000,2733,0.91,30.92,771,29900,1445,318,200,2532379,6,4,1941,"MULTI_FAMILY"
447290701,"52 Pat St, Mount Vernon, TX 75457","Mount Vernon",TX,184900,1690,0.91,35.45,546,18490,893,100,150,25005801,3,2,0,"SINGLE_FAMILY"
78896062,"1628 Hamlin Ave, Wichita Falls, TX 76301","Wichita Falls",TX,105000,959,0.91,19.95,175,10500,507,127,150,178588,3,1,1952,"SINGLE_FAMILY"
70148157,"819 Moore St, Reidsville, NC 27320","Reidsville",NC,129900,1186,0.91,33.15,359,12990,628,50,150,10081225,2,1,1937,"SINGLE_FAMILY"
449874251,"120 S Landvale St, York Haven, PA 17370","York Haven",PA,157000,1431,0.91,24.73,324,15700,759,199,150,PAYK2096792,2,2,1900,"SINGLE_FAMILY"
50413228,"1960 N Major Dr, Beaumont, TX 77713","Beaumont",TX,169000,1840,1.09,48.7,686,16900,817,188,150,262284,4,2,0,"SINGLE_FAMILY"
63686202,"642 Tulip Tree Ln, Cresco, PA 18326","Cresco",PA,295000,2687,0.91,23.46,577,29500,1425,210,200,PM-135880,5,2,1842,"SINGLE_FAMILY"
43722623,"372 NW DIVIDER Terrace, Lake City, FL 32055","Lake City",FL,150000,1366,0.91,33.05,413,15000,725,78,150,2137070,3,1,1969,"SINGLE_FAMILY"
88100894,"13763 Sparling St, Hamtramck, MI 48212","Hamtramck",MI,103900,1132,1.09,48.24,418,10390,502,62,150,20251008729,3,1,1922,"SINGLE_FAMILY"
232390164,"363 W Brazell St, Reidsville, GA 30453","Reidsville",GA,75000,818,1.09,44.86,280,7500,362,25,150,10728331,3,1,1950,"SINGLE_FAMILY"
2058368175,"2072 Casita Dr, Sarasota, FL 34234","Sarasota",FL,199900,1817,0.91,29.39,490,19990,966,212,150,11686152,2,2,2022,"MANUFACTURED"
336776244,"22819 Grand Spg, Elmendorf, TX 78112","Elmendorf",TX,170000,1544,0.91,31.86,451,17000,821,121,150,1954605,3,2,1997,"MANUFACTURED"
49652810,"728 Harrison Ave NW, Roanoke, VA 24016","Roanoke",VA,160000,1453,0.91,35.1,468,16000,773,62,150,922595,3,1,1950,"SINGLE_FAMILY"
2074114576,"1736 Primrose Ln, Sebring, FL 33872","Sebring",FL,129900,1419,1.09,44.85,486,12990,628,156,150,11686603,2,2,1999,"MANUFACTURED"
2067855888,"Lot#58 Twin Oaks Mountain Boulevard, Sparta, NC 28675","Sparta",NC,92500,839,0.91,15.68,121,9250,447,46,150,260956,0,0,0,"LOT"
2062217714,"1433 Cc Dr, Ashland, KY 41102","Ashland",KY,89000,973,1.09,52.23,387,8900,430,6,150,25506616,1,1,2025,"SINGLE_FAMILY"
306610188,"401 Whitaker Ln, Grants Pass, OR 97527","Grants Pass",OR,169000,1532,0.91,35.21,496,16900,817,70,150,220218089,0,0,0,"LOT"
29092350,"1119 E Cantey St, Fort Worth, TX 76104","Fort Worth",TX,154900,1402,0.91,24.49,316,15490,748,188,150,21206973,2,1,1900,"SINGLE_FAMILY"
446059208,"613 E 5th St, Spencer, NC 28159","Spencer",NC,195000,1764,0.90,34.55,561,19500,942,111,150,4240935,3,2,1911,"SINGLE_FAMILY"
461529553,"6275 Rolling Fork Rd Unit 406-F, Charleston, SC 29406","Charleston",SC,147500,1617,1.10,58.07,714,14750,713,41,150,26009689,2,2,1984,"CONDO"
49873308,"423 Alabama Ave, Warner Robins, GA 31093","Warner Robins",GA,182500,1649,0.90,32.83,499,18250,882,118,150,183696,5,2,1966,"SINGLE_FAMILY"
247147978,"16329 Cherry Tree Ct, Clermont, FL 34714","Clermont",FL,159990,1756,1.10,30.58,408,15999,773,163,150,TB8493039,0,0,0,"LOT"
49665421,"914 Bullitt Ave SE, Roanoke, VA 24013","Roanoke",VA,190000,1711,0.90,35.34,560,19000,918,83,150,922596,5,2,1900,"SINGLE_FAMILY"
97588053,"2066 DRY CREEK, Canyon Lake, TX 78133","Canyon Lake",TX,259000,2332,0.90,26.25,566,25900,1251,314,200,1949905,2,3,2022,"SINGLE_FAMILY"
